company_name,credit
"Lauritzen Bulkers A/S c/o  J, Lauritzen A/S",500000
"M,R,C, DENIZCILIK TURIZM VE",200000
"MCDERMOTT AUSTRALIA PTY,",1000000
"Mitsui OSK Kinkai Ltd, aka Shosen",2000000
"MS Charlie B Schifffahrts GmbH & Co, KG",100000
"Nanjing Sheng Hang Shipping Co,,",1000000
"Oceana Shipping A,G,",500000
"Oman Ship Management Company S,A,O,C",1000000
"P & P SHIPPING CO, (HELLAS) S,",320000
"P,T, CHANDRA ASRI",800000
"Pasternak, Baum & Co,, Inc",500000
"Petroles Reiter Inc, AKA Reiter",300000
"PT, STYRINDO MONO",300000
"REEDEREI NORD HOLDING C,V,",600000
"Saipem (Portugal) Comercio Maritimo, Sociedade Unipessoal, Lda",5000000
"Saipem(Portugal) Com, Maritimo",1000000
"SHL Offshore Contractors B,V,",2000000
"ST Logistics Pte, Ltd,",1000000
"Tongli Samoa Shipping Co, Ltd",1500000
"Trinity House Harwich Depot, The",100000
"United Feeder Services L,P,",500000
"Zheijang Changchang Shipping Co, Ltd",0
