"company_name","credit","seasearcher_id","country","country_code"
"Hanseatic Bunker Services GmbH","2500000","55515","Germany","DEU"
"Hapag-Lloyd AG","70000000","6720","Germany","DEU"
"Harren Partner","5000000","516249","Germany","DEU"
"Heinrich Wegener & Sohn","150000","55492","Germany","DEU"
"Hoyer Marine Trading GmbH.","500000","547741","Germany","DEU"
"HUGO STINNES SCHIFFAHRT","250000","285642","Germany","DEU"
"IBT Bunkering & Trading","250000","55493","Germany","DEU"
"Marinekommando","500000","","Germany","DEU"
"MINCHART GmbH & Co. KG","500000","532488","Germany","DEU"
"Mlb Manfred Lauterjung","330000","90758","Germany","DEU"
"MS Charlie B Schifffahrts GmbH & Co. KG","100000","","Germany","DEU"
"NEU SEESCHIFFAHRT GMBH","500000","167686","Germany","DEU"
"Neu Seeschiffahrt GmbH","1100000","167686","Germany","DEU"
"Niels Hankiewicz Chartering GmbH","75000","267881","Germany","DEU"
"NSG Nordic Shipping GmbH","100000","194772","Germany","DEU"
"Oldendorff Carriers GmbH & Co KG","10000000","92587","Germany","DEU"
"Peter Doehle Schiffahrts KG Gmbh & Co","7500000","4214","Germany","DEU"
"PLANTOURS & PARTNER GMBH","350000","262447","Germany","DEU"
"Reederei Lehmann GmbH & Co. KG","50000","375623","Germany","DEU"
"REEDEREI NORD HOLDING C.V.","600000","","Germany","DEU"
"RHENUS MARITIME SERVICES","50000","13553","Germany","DEU"
"RWE SUPPLY & TRADING GMBH","6000000","270848","Germany","DEU"
"Rz Carrier","3500000","643707","Germany","DEU"
"Sal Heavy Lift GmbH","500000","47754","Germany","DEU"
"SIBUR International GmbH","500000","","Germany","DEU"
"TB Marine Shipmanagement GmbH & Co. KG","200000","388163","Germany","DEU"
"Thoresen Shipping Germany GmbH","2000000","","Germany","DEU"
"Uniper Global Commodities SE","5000000","446607","Germany","DEU"
"United Heavy lift GmbH","500000","497379","Germany","DEU"
"VOLKSWAGEN","750000","355083","Germany","DEU"
"Freight Force AG","2000000","","Germany/Switzerland","DEU"
"Oceana Shipping A.G.","500000","","Germany/Switzerland","DEU"
"Aims Shipping Corp","200000","439904","Greece","GRC"
"Alassia NewShips Management Inc.","350000","274709","Greece","GRC"
"Alkon Holding Inc","350000","73874","Greece","GRC"
"Alma Shipmanagement and Trading SA","100000","","Greece","GRC"
"Almi Marine Management SA","200000","51041","Greece","GRC"
"Almi Tankers SA","7500000","539469","Greece","GRC"
"Alpha Bulkers Shipmanagement Inc","8000000","473395","Greece","GRC"
"Altair Shipping and Trading Corp","350000","","Greece","GRC"
"Altomare SA","100000","176444","Greece","GRC"
"Andriaki Shipping Co Ltd","1500000","520586","Greece","GRC"
"ASTRA SHIPMANAGEMENT INC","250000","475591","Greece","GRC"
"Avin International Ltd.","5000000","1419","Greece","GRC"
"Baru Delta Maritime Ltd","200000","69250","Greece","GRC"
"BERNHARD SCHULTE","200000","284352","Greece","GRC"
"Blue Fin Tankers Inc","1000000","268144","Greece","GRC"
"Blue Planet Shipping Ltd","200000","96531","Greece","GRC"
"BRIGHT NAVIGATION INC","250000","173427","Greece","GRC"
"Bright Navigation Inc","200000","173427","Greece","GRC"
"British Bulkers Inc.","200000","128548","Greece","GRC"
"BULKSEAS MARINE","400000","435783","Greece","GRC"
"CAPE SHIPPING S.A.","350000","67068","Greece","GRC"
"Centrofin Management Inc.","500000","567589","Greece","GRC"
"Chandris (Hellas) Inc","500000","2927","Greece","GRC"
"COMMON PROGRESS","300000","3371","Greece","GRC"
"COSMOSHIP MANAGEMENT S.A","600000","94957","Greece","GRC"
"Cosmotrans Navigation SA. Marshall Islands","500000","292005","Greece","GRC"
"Cyprus Sea Lines Co.. Ltd.","1500000","505461","Greece","GRC"
"DALEX SHIPPING CO. S.A.","300000","3857","Greece","GRC"
"Delta Tankers Ltd","7000000","237555","Greece","GRC"
"DIANA SHIPPING SERVICES S.A.","500000","23055","Greece","GRC"
"Dynacom Tankers Management","15000000","48860","Greece","GRC"
"Eastern Mediterranean Maritime","1500000","36777","Greece","GRC"
"ELETSON CORPORATION","250000","6579","Greece","GRC"
"Empire Bulkers Ltd","100000","441661","Greece","GRC"
"ENESEL S.A.","1500000","106374","Greece","GRC"
"Enterprises Shipping & Trading","15000000","4848","Greece","GRC"
"EQUINOX MARITIME LTD","500000","179174","Greece","GRC"
"Eurotank Maritime Management SA","300000","79630","Greece","GRC"
"Eurotankers Inc","1200000","36853","Greece","GRC"
"FORTIUS SHIP MANAGEMENT","300000","44661","Greece","GRC"
"GASLOG LNG SERVICES L.T.D.","3000000","441254","Greece","GRC"
"GasLog LNG Services Ltd","50000000","441254","Greece","GRC"
"Gaslog LNG Services Ltd","9000000","441254","Greece","GRC"
"GLOBAL CRUISE LINES LTD","500000","255450","Greece","GRC"
"Global Maritime Group Inc.","1000000","261714","Greece","GRC"
"Goldenport Shipmanagement Ltd","500000","5825","Greece","GRC"
"GRECOMAR SHIPPING AGENCY","100000","6391","Greece","GRC"
"HALKIDON SHIPPING CORP.","500000","67810","Greece","GRC"
"Hellenic Tankers Co Ltd","1000000","589134","Greece","GRC"
"HORIZON TANKERS LTD S.A.","350000","245664","Greece","GRC"
"Hydroussa Navigation Ltd","1100000","524246","Greece","GRC"
"IMS OIL TRADING LTD","400000","195138","Greece","GRC"
"Interunity Management Corp.","1000000","7521","Greece","GRC"
"Iolcos Hellenic Maritime Enterprices","500000","","Greece","GRC"
"Kassian Maritime Ltd","500000","98187","Greece","GRC"
"KONKAR SHIPPING AGENCIES S.","250000","24580","Greece","GRC"
"Kyklades Maritime Corporation","1000000","51328","Greece","GRC"
"Larus SA","4000000","85405","Greece","GRC"
"Lavinia Corporation","8000000","181020","Greece","GRC"
"Lemar Shipping Inc.","300000","637238","Greece","GRC"
"Livanos NG Maritime Company","200000","","Greece","GRC"
"M/Maritime Corp","1000000","637307","Greece","GRC"
"Marine Trust Ltd","10000000","83016","Greece","GRC"
"Marmaras Navigation Ltd","3000000","9893","Greece","GRC"
"Meadway Shipping Trading Inc","5000000","","Greece","GRC"
"Medcare Shipping S.A.","150000","99585","Greece","GRC"
"NARVAL SHIPPING CORP.","250000","10932","Greece","GRC"
"Navina Maritime SA","2000000","85420","Greece","GRC"
"Neptune Lines Shipping &","1000000","176906","Greece","GRC"
"Ngm Energy SA","6000000","227116","Greece","GRC"
"NIOVIS SHIPPING CO. S.A.","800000","98967","Greece","GRC"
"OCEANGOLD TANKERS INC","200000","253263","Greece","GRC"
"P & P SHIPPING CO. (HELLAS) S.","320000","","Greece","GRC"
"PACIFIC & ATLANTIC","50000","69834","Greece","GRC"
"Paloma Shipping Corp","800000","490632","Greece","GRC"
"Pantheon Tankers Management Ltd","6000000","446950","Greece","GRC"
"PAVIMAR S.A.","200000","473893","Greece","GRC"
"Perosea Shipping Co SA","200000","12710","Greece","GRC"
"Pertanko Management SA","1000000","499945","Greece","GRC"
