"company_name","credit","seasearcher_id","country","country_code"
"Pacific World Shipping Pte. Ltd.","500000","","Republic of Singapore","SGP"
"Pancoast Trading (Singapore) Pte","500000","","Republic of Singapore","SGP"
"PENG HONG PTE LTD","50000","495286","Republic of Singapore","SGP"
"Peng Hong Pte Ltd","400000","495286","Republic of Singapore","SGP"
"PETRO SUMMIT PTE LTD","2500000","","Republic of Singapore","SGP"
"Platina Bulk Carriers Pts Ltd","700000","","Republic of Singapore","SGP"
"Plaza Marine. INC.","400000","80653","Republic of Singapore","SGP"
"POE Shipping Pte. Ltd.","100000","106090","Republic of Singapore","SGP"
"Propel Shipping Pte Ltd","400000","515287","Republic of Singapore","SGP"
"Raffles Bunkering Pte. Ltd.","900000","652823","Republic of Singapore","SGP"
"RCL FEEDER PTE LTD.","1500000","272302","Republic of Singapore","SGP"
"Richland Bulk Pte. Ltd.","750000","541644","Republic of Singapore","SGP"
"SDTR MARINE PTE LTD","1750000","472289","Republic of Singapore","SGP"
"Sea Consortium Pte Ltd","12000000","","Republic of Singapore","SGP"
"Sea Consortium Pte Ltd","3500000","","Republic of Singapore","SGP"
"Seacon Enterprise Pte Ltd","2000000","540875","Republic of Singapore","SGP"
"Sealink Shipping (Singapore) Pte Ltd","1500000","","Republic of Singapore","SGP"
"Seaocean Carriers Pte Ltd","500000","638173","Republic of Singapore","SGP"
"SHELL TANKERS (SINGAPORE)","6000000","155168","Republic of Singapore","SGP"
"SIAM GAS TRADING PTE LTD","1000000","526858","Republic of Singapore","SGP"
"Singapore Shipping International (Private) Limited","400000","79791","Republic of Singapore","SGP"
"Sino East Asia Pte Ltd","500000","","Republic of Singapore","SGP"
"Sinopec Fuel OIl (Singapore) Pte","500000","","Republic of Singapore","SGP"
"Sinotrans Agencies (S) Pte Ltd","500000","","Republic of Singapore","SGP"
"SK B&T PTE LTD","2300000","400783","Republic of Singapore","SGP"
"SK B&T PTE LTD","3750000","400783","Republic of Singapore","SGP"
"Smit Singapore Pte Ltd","700000","303129","Republic of Singapore","SGP"
"ST Logistics Pte. Ltd.","1000000","","Republic of Singapore","SGP"
"Stainless Tankers Inc c/o WOMAR Logistics Pte Ltd","2500000","","Republic of Singapore","SGP"
"Straits Bunkering Pte Ltd","250000","","Republic of Singapore","SGP"
"Subsea 7 Singapore Contracting","800000","503044","Republic of Singapore","SGP"
"Subsea7 ingapore Contracting Pte Ltd","700000","","Republic of Singapore","SGP"
"SUCCESS BLOSSOM TRADING","1500000","651888","Republic of Singapore","SGP"
"SUSESEA HOLDINGS PTE. LTD.","200000","483262","Republic of Singapore","SGP"
"Swire Pacific Offshore Operations Pte Ltd","3000000","","Republic of Singapore","SGP"
"Synergy Marine Commercial","150000","","Republic of Singapore","SGP"
"TATSUMI MARINE (S) PTE LTD","500000","","Republic of Singapore","SGP"
"Teekay Navion Offshore Loading Pte Ltd","5000000","","Republic of Singapore","SGP"
"Teekay Tankers Chartering Pte Ltd","3000000","511704","Republic of Singapore","SGP"
"TESORO FAR EAST MARITIME","1500000","274062","Republic of Singapore","SGP"
"TFG Marine Pte Ltd","15000000","","Republic of Singapore","SGP"
"THORESEN SHIPPING","2000000","287410","Republic of Singapore","SGP"
"Thoresen Shipping Singapore Pte Ltd","2000000","287410","Republic of Singapore","SGP"
"Tongli Shipping Pte.Ltd","800000","","Republic of Singapore","SGP"
"Toyota Tsusho Petroleum Pte Ltd","2500000","","Republic of Singapore","SGP"
"Triomphe Shipping Pte Ltd","500000","","Republic of Singapore","SGP"
"TS GLOBAL PROCUREMENT","1500000","","Republic of Singapore","SGP"
"Ultrabulk Shipholding (Singapore) Pte Ltd","300000","","Republic of Singapore","SGP"
"Vasi Shipping Pte Ltd","2000000","439565","Republic of Singapore","SGP"
"Victory Shipping Pte Ltd","1000000","","Republic of Singapore","SGP"
"VLK TRADERS SINGAPORE PTE","500000","72887","Republic of Singapore","SGP"
"WESTERN BULK PTE LTD","1000000","","Republic of Singapore","SGP"
"WINSTAR SHIPPING PTE LTD","150000","","Republic of Singapore","SGP"
"Womar Logistics Pte Ltd","7500000","267951","Republic of Singapore","SGP"
"Puma International Congo","90000","","Republic of the Congo","COG"
"Baltik Shipping OOO","1000000","","Russia","RUS"
"Blue Wave Ooo","75000","","Russia","RUS"
"CHBSK OOO","50000","","Russia","RUS"
"CHBSK. OOO","40000","","Russia","RUS"
"IHB SHIPING CO JSC","250000","","Russia","RUS"
"Interrybflot Service Ltd","150000","","Russia","RUS"
"JSC Polarnaya Ekspeditsia","300000","","Russia","RUS"
"JSC Yuzhmorryflot","300000","","Russia","RUS"
"Mage PAO","750000","","Russia","RUS"
"Public Joint Stock Company ""Murmansk Trawl Fleet""","200000","","Russia","RUS"
"Sakhalin OAO SEA Shipping","200000","","Russia","RUS"
"Terminal Astafeva OAO","200000","","Russia","RUS"
"Trans Vind Flot AO","225000","","Russia","RUS"
"Amur Shipping Company. AO","300000","648225","Russian Federation","RUS"
"Arktik Shipping OOO","115000","289601","Russian Federation","RUS"
"Balt-Shtok OOO","100000","247511","Russian Federation","RUS"
"Baltic Reefers Ltd","500000","650478","Russian Federation","RUS"
"For Fishing AO","3500000","195234","Russian Federation","RUS"
"Kontsern Aspol-Baltik","250000","41357","Russian Federation","RUS"
"MRP Tanker OOO","200000","458064","Russian Federation","RUS"
"Nbamr PAO","720000","50532","Russian Federation","RUS"
"NORTH-WESTERN SHIPPING","250000","521598","Russian Federation","RUS"
"OOO Universal Baltic Company","350000","506515","Russian Federation","RUS"
"PJSC North-Western Shipping","330000","521598","Russian Federation","RUS"
"Polaris Shipping Co. Ltd.","500000","169590","Russian Federation","RUS"
"SCF Management Services","10000000","551635","Russian Federation","RUS"
"Sovcomflot PAO","7500000","47511","Russian Federation","RUS"
"SUEK AG","600000","257345","Russian Federation","RUS"
"Tikhrybkom OOO","110000","488199","Russian Federation","RUS"
"Transflot OOO","120000","170610","Russian Federation","RUS"
"Tongli Samoa Shipping Co. Ltd","1500000","","Samoa","WSM"
"Bihar International Co","200000","1563","Saudi Arabia","SAU"
"SAUDI ARABIAN MINING","1000000","638112","Saudi Arabia","SAU"
"GOLDEN OCEAN SHIPPING CO","5000000","491061","Seychelles","SYC"
"FFS Refiners (Pty) Ltd","10000","","South Africa","ZAF"
"Nutam Operations Pty Ltd","800000","","South Africa","ZAF"
"REGAL CAPE MARINE CC","100000","302518","South Africa","ZAF"
"Sea Harvest Group Ltd","200000","603492","South Africa","ZAF"
"Agunsa Europa S.A.","300000","","Spain","ESP"
"Black Bull Logistics SL","100000","490244","Spain","ESP"
"CONGELADOS NORIBERICA SA","120000","","Spain","ESP"
"Endesa Energia S.A.","1000000","471643","Spain","ESP"
"Ership","800000","31469","Spain","ESP"
"Flota Suardiaz S.L.","1800000","69039","Spain","ESP"
"FRONTLINE SHIPPING","3000000","166505","Spain","ESP"
"GAS NATURAL","5000000","476223","Spain","ESP"
"Hijos De Vidal Bandin SA","250000","174275","Spain","ESP"
"J ronco y Cia Sl","880000","","Spain","ESP"
"JALDAMAR SL","200000","641908","Spain","ESP"
"Jose Montenegro Vila SL","300000","278084","Spain","ESP"
"Marguisa Shipping Lines SLU","1000000","","Spain","ESP"
"MARINOIL SERVICE SA","500000","60577","Spain","ESP"
"MORADIÑA SL","1000000","","Spain","ESP"
"Naturgy Aprovisionamientos S.A.","500000","568369","Spain","ESP"
"North Sea Giant AS","500000","303303","Spain","ESP"
"PESQUERA AUGADOCE SL","130000","","Spain","ESP"
"Pesquera Barra SA","170000","246396","Spain","ESP"
"PESQUERA ECCE HOMO SL","130000","","Spain","ESP"
"PESQUERA RAYMI SL","100000","","Spain","ESP"
"PESQUERIAS CHAMO SL","250000","172747","Spain","ESP"
"PESQUERIAS GEORGIA SL","250000","489930","Spain","ESP"
"Seapride Maritime SL","100000","","Spain","ESP"
"TALASA BARBANZA SL","120000","","Spain","ESP"
"UNION FENOSA GAS S A","2000000","","Spain","ESP"
"Ceylon Shipping Corp Ltd","100000","2905","Sri Lanka","LKA"
"QatarGas Operating Co Ltd","15000000","263463","State of Qatar","QAT"
"NIMR INternational LLC","150000","515337","Sultanate of Oman","OMN"
"Oman Charter Company SAOC","1000000","287988","Sultanate of Oman","OMN"
"Oman Oil Marketing SAOG","150000","224406","Sultanate of Oman","OMN"
"OMAN SHIP MANAGEMENT","1000000","228402","Sultanate of Oman","OMN"
"Atobatc Holding AB","330000","220260","Sweden","SWE"
"ATOBATCSHIPPING AB","200000","","Sweden","SWE"
"Bogserteam Öresund AB","100000","","Sweden","SWE"
"Brochart KB","500000","206312","Sweden","SWE"
"Cementa Ab","2500000","2843","Sweden","SWE"
"COOL CARRIERS AB","1000000","97662","Sweden","SWE"
"Floatel Reliance B.V.","250000","266811","Sweden","SWE"
"MARINE CRANE MC AB","75000","","Sweden","SWE"
"MARINE SOLUTIONS MG AB","200000","66076","Sweden","SWE"
"MMT SWEDEN AB","150000","","Sweden","SWE"
"OP SHIP AB","50000","","Sweden","SWE"
"Polar Explorer AS","800000","628610","Sweden","SWE"
"Rederi AB Donsötank","150000","","Sweden","SWE"
"Rederi AB Nathalie","15000","","Sweden","SWE"
"Rederi AB Nordö-Link","500000","","Sweden","SWE"
"ScanOcean AB","500000","474641","Sweden","SWE"
"SIRIUS CHARTERING AB","150000","262707","Sweden","SWE"
"Smart Energy Sweden Fuels AB","500000","","Sweden","SWE"
"Vattenfall Vindkraft","1000000","","Sweden","SWE"
"ADM International Sàrl","3000000","274106","Switzerland","CHE"
"Amaggi SA","1000000","436523","Switzerland","CHE"
"Cargill International SA","11000000","21885","Switzerland","CHE"
"COFCO International Freight SA","5000000","556890","Switzerland","CHE"
"CSSA Chartering & Shipping Services SA","25000000","285803","Switzerland","CHE"
"Eiger Shipping SA","5000000","644059","Switzerland","CHE"
"Element Maritime SA","500000","636243","Switzerland","CHE"
"Engelhart CTP (Switzerland) SA","9000000","520627","Switzerland","CHE"
"Geogas Trading SA","5000000","6024","Switzerland","CHE"
"Great White Fleet Corp","2000000","636629","Switzerland","CHE"
"Gunvor Sa","6000000","391783","Switzerland","CHE"
"Heerema Marine Contractors","100000","6819","Switzerland","CHE"
"Louis Dreyfus Company Suisse SA","15000000","285828","Switzerland","CHE"
"Louis Dreyfus Company Suisse SA","2500000","285828","Switzerland","CHE"
"Lyon Bunker Services SA","5000000","637198","Switzerland","CHE"
"MASSMARINER SA","500000","135586","Switzerland","CHE"
"Mercuria Energy Trading SA","6000000","221325","Switzerland","CHE"
"Nova Marine Carriers Sa","1000000","267846","Switzerland","CHE"
"NOVAALGOMA SHORT-SEA","750000","493958","Switzerland","CHE"
"Proman Shipping AG","500000","502293","Switzerland","CHE"
"Quadra Commodities Sa","500000","344147","Switzerland","CHE"
"Socar Trading SA","8000000","268147","Switzerland","CHE"
"ST SHIPPING AND TRANSPORT","9500000","193956","Switzerland","CHE"
"United Maritime Logistics","500000","494555","Switzerland","CHE"
"Yara Switzerland Ltd","3000000","267937","Switzerland","CHE"
"York Overseas Ltd.","50000","653600","Switzerland","CHE"
"China Steel Express Corporation","2000000","85305","Taiwan, China","TWN"
"Enchong Co Ltd","220000","267976","Taiwan, China","TWN"
"F.C.F. FISHERY CO LTD","750000","542021","Taiwan, China","TWN"
"FCF Fishery Co. Ltd","3800000","195247","Taiwan, China","TWN"
"Oceanlance Maritime Co Ltd","200000","388403","Taiwan, China","TWN"
"SHINE YEAR FISHING CO.. LTD.","275000","25431","Taiwan, China","TWN"
"SIMOSA OIL CO LTD","300000","389515","Taiwan, China","TWN"
"T.S. Lines Limited","4000000","468004","Taiwan, China","TWN"
"TA-HO Maritime Corporation","1000000","16333","Taiwan, China","TWN"
"TS LINES LIMITED","1500000","543802","Taiwan, China","TWN"
"U-Ming Marine Transport","1500000","18567","Taiwan, China","TWN"
"U-Ming Marine Transport Corp","3000000","18567","Taiwan, China","TWN"
"UNIFISHERY ENTERPRISE CO","500000","30771","Taiwan, China","TWN"
"UNISON MARINE CORPORATION","300000","843","Taiwan, China","TWN"
"Wan Hai Lines Ltd","11000000","18063","Taiwan, China","TWN"
"Yang Ming Marine Transport Corporation","15000000","18483","Taiwan, China","TWN"
"Polaris Shipping Limited Inc","400000","433486","Tanzania","TZA"
"Ama Marine Public Co Ltd","800000","87977","Thailand","THA"
"C P Company Limited","170000","2484","Thailand","THA"
"K Express Co. Ltd","30000","551101","Thailand","THA"
"K Navigate Company Limited","40000","478320","Thailand","THA"
"Mermaid Subsea Services","170000","477526","Thailand","THA"
"Nathalin Company Limited","1800000","46861","Thailand","THA"
"PRECIOUS SHIPPING PUBLIC CO","1000000","38585","Thailand","THA"
"PTT Oil and Retail Business Public Company Limited","2000000","","Thailand","THA"
"Sea Oil Public Company Limited","100000","325523","Thailand","THA"
"SIAM LUCKY MARINE CO.. LTD","1450000","272932","Thailand","THA"
"THAI OIL PUBLIC CO. LTD.","4000000","27232","Thailand","THA"
"Adakent Denizcilik Ltd","3000000","473989","Turkiye","TUR"
"Adamoglu Denizcilik Ltd","60000","490043","Turkiye","TUR"
"Akkon Denizcilik AS","600000","541265","Turkiye","TUR"
"Akmar Shipping & Trading SA","500000","26613","Turkiye","TUR"
"Arel Denizcilik AS","500000","240326","Turkiye","TUR"
"Arkas Bunkering & Trading SA","150000","274842","Turkiye","TUR"
"Arkas Konteyner Tasimacilik AS","3000000","283127","Turkiye","TUR"
"Armador Gemi Ltd","3000000","364323","Turkiye","TUR"
"AS-MIRA PETROL VE KIMYA","400000","","Turkiye","TUR"
"Baytas Tanker Denizcilik Turizm Sanayi ve Ticaret Ltd Sti","300000","","Turkiye","TUR"
"Borealis Tanker Kiralama AS","400000","570788","Turkiye","TUR"
"Borusan Lojistik AS","400000","","Turkiye","TUR"
"Bright Denizcilik ve Gemi Isletmeciligi A.S","300000","","Turkiye","TUR"
"Bulk Atlantic Inc","500000","195960","Turkiye","TUR"
"Canakkale Ayna Denizcilik AS","600000","311185","Turkiye","TUR"
"Devbulk Gemi Isletmeciligi AS","150000","485662","Turkiye","TUR"
"Devbulk Trading Ltd.","200000","643990","Turkiye","TUR"
"DITAS DENIZ ISLETMECILIGI VE","750000","4195","Turkiye","TUR"
"Doganata Denizcilik AS","100000","518227","Turkiye","TUR"
"Dramar Denizcilik","300000","4323","Turkiye","TUR"
"Egeden Denizcilik ve Tasimacilik Tic AS","200000","479192","Turkiye","TUR"
"Feza Denizcilik Ltd","150000","242781","Turkiye","TUR"
"HICRI ERCILI DENIZ NAKLIYAT","250000","495320","Turkiye","TUR"
"HK Denizcilik","250000","289756","Turkiye","TUR"
"M.R.C. DENIZCILIK TURIZM VE","200000","","Turkiye","TUR"
"Manta Denizcilik Nakliyat ve Ticaret Ltd","2000000","173390","Turkiye","TUR"
"Medkon Hat Isletmeciligi","1000000","474191","Turkiye","TUR"
"Pine Marine Co","400000","303395","Turkiye","TUR"
"Socar Turkey Petrol Enerji Dagitim","1000000","553996","Turkiye","TUR"
"Sonay Denizcilik Ltd Sti","300000","","Turkiye","TUR"
"Tami Project Inc","300000","648618","Turkiye","TUR"
"Tayf Denizcilik Ltd","200000","430306","Turkiye","TUR"
"TECO PETROLCULUK SANAYI","300000","477947","Turkiye","TUR"
"Trimorya Shipping Limited","120000","262668","Turkiye","TUR"
"TURKIYE PETROLLERI ANONIM","1500000","475283","Turkiye","TUR"
"YA-SA GEMI ISLETMECILIGI VE","300000","219889","Turkiye","TUR"
"Ya-sa Tanker Isletmeciligi A.S.","400000","276044","Turkiye","TUR"
"Yagci Denizcilik ve Ticaret Ltd Sirketi","200000","76025","Turkiye","TUR"
"Ariadne Shiptrade SA","1600000","650520","Ukraine","UKR"
"Chaka Eidzhensi TOV","2000000","","Ukraine","UKR"
"Faeton TOV","3500000","","Ukraine","UKR"
"Fayette International Holdings Limited","1400000","636512","Ukraine","UKR"
"Meridian Ltd","750000","651297","Ukraine","UKR"
"SC Innovative Ukraine","250000","426304","Ukraine","UKR"
"Thule Ltd","300000","505884","Ukraine","UKR"
"Transshyp TOV","200000","","Ukraine","UKR"
"Ukrrichflot JSSC","500000","","Ukraine","UKR"
"Varamar TOV","1000000","","Ukraine","UKR"
"Abu Dhabi National Tanker Company (ADNATCO)","5000000","43","United Arab Emirates","ARE"
"Al Ghurair Energy DMCC","2000000","514942","United Arab Emirates","ARE"
"Al Ghurair Resources LLC","6000000","320203","United Arab Emirates","ARE"
"Aquamar Shipping LLC","100000","387523","United Arab Emirates","ARE"
"BGN INT DMCC","500000","589071","United Arab Emirates","ARE"
"BPCL International FZE","150000","","United Arab Emirates","ARE"
"BPG Shipping Company DMCC","400000","","United Arab Emirates","ARE"
"COPA SHIPPING DMCC","250000","","United Arab Emirates","ARE"
"COT General Trading FZE","12000000","","United Arab Emirates","ARE"
"E C B International General Trading","100000","","United Arab Emirates","ARE"
"EMT Marine Trade FZE","400000","","United Arab Emirates","ARE"
"ENDEAVOUR BUNKER TRADING","250000","","United Arab Emirates","ARE"
"Eurotank Maritime DMCC","150000","","United Arab Emirates","ARE"
"FNSA FUEL LTD FZE - FNSA","500000","","United Arab Emirates","ARE"
"Future Oil & Grease Industry FZ","100000","","United Arab Emirates","ARE"
"GAC BUNKER FUELS LIMITED","250000","221131","United Arab Emirates","ARE"
"Geoserve Energy Transport DMCC","3000000","517387","United Arab Emirates","ARE"
"Gulf Agency Co Dubai LLC","6000000","96990","United Arab Emirates","ARE"
"GULF PETROL SUPPLIES LLC","250000","267586","United Arab Emirates","ARE"
"GULF PETROL SUPPLIES LLC","500000","267586","United Arab Emirates","ARE"
"HAKAN AGRO DMCC","350000","650912","United Arab Emirates","ARE"
"Insight Maritime DMCC","500000","644394","United Arab Emirates","ARE"
"Interworld Shipping Agency LLC","100000","457264","United Arab Emirates","ARE"
"LSS Ocean Transport DMCC K/A","100000","","United Arab Emirates","ARE"
"LUBREX FZC","150000","","United Arab Emirates","ARE"
"Mena Energy DMCC","1000000","286316","United Arab Emirates","ARE"
"Miclyn Offshore Middle East Africa FZE","200000","394325","United Arab Emirates","ARE"
"NATIONAL GAS SHIPPING","3000000","70562","United Arab Emirates","ARE"
"Ocean Energy Ltd","1000000","645756","United Arab Emirates","ARE"
"Ocean Oilfield Drilling FZC","144000","","United Arab Emirates","ARE"
"Oilmar Shipping and Chartering DMCC","1000000","","United Arab Emirates","ARE"
"Quest Group DMCC","500000","519102","United Arab Emirates","ARE"
"RAME Rubis Asphalt Middle East DMCC","500000","","United Arab Emirates","ARE"
"Rtss Maritime Services LLC","150000","343423","United Arab Emirates","ARE"
"Rulexx Lubricants and Grease","300000","","United Arab Emirates","ARE"
"SILK ROAD SHIPPING AND","100000","","United Arab Emirates","ARE"
"Simtra International LLC","600000","493709","United Arab Emirates","ARE"
"South Kurdistan Company General Trading LLC","100000","638463","United Arab Emirates","ARE"
"SSH Maritime Management of Pleasure Yachts","50000","","United Arab Emirates","ARE"
"Stevin Rock LLC","500000","86179","United Arab Emirates","ARE"
"Tiryaki Shipping FZ-LLC","2000000","","United Arab Emirates","ARE"
"Transworld Feeders FZCO","500000","488676","United Arab Emirates","ARE"
"United Arab Chemical Carriers Ltd (UACC)","500000","247265","United Arab Emirates","ARE"
"Varamar Shipping DMMCC","500000","","United Arab Emirates","ARE"
"AET Inc Ltd","2000000","495556","United Kingdom","GBR"
"Ashley Global Shipping Limited","330000","652925","United Kingdom","GBR"
"Atlantic Coal and Bulk","2300000","","United Kingdom","GBR"
"Aurora Marine Fuels Ltd","1000000","537947","United Kingdom","GBR"
"BP Shipping Limited","2000000","2122","United Kingdom","GBR"
"BP Shipping Limited","20000000","2122","United Kingdom","GBR"
"Charles M Willie & Co. (Shipping)","350000","471768","United Kingdom","GBR"
"Chevron Tankers Ltd","3000000","151880","United Kingdom","GBR"
"Combined Mining and Shipping","400000","","United Kingdom","GBR"
"European Metal Recycling Limited","1000000","195472","United Kingdom","GBR"
"Evergreen Marine (UK) Limited","1000000","165440","United Kingdom","GBR"
"Glencore Limited","30000000","195494","United Kingdom","GBR"
"Greenergy Fuels Limited","40000","586705","United Kingdom","GBR"
"Hays Ships Limited","192000","6811","United Kingdom","GBR"
"Holbud Ship Management Limited","4000000","7028","United Kingdom","GBR"
"James Fisher Everard Limited","250000","5062","United Kingdom","GBR"
"K Line Bulk Shipping (UK) Ltd","750000","260425","United Kingdom","GBR"
"KOCH FERTILIZER","1000000","644545","United Kingdom","GBR"
"Londonderry Port & Harbour","15000","65352","United Kingdom","GBR"
"MAERSK SUPPLY SERVICE","500000","257570","United Kingdom","GBR"
"MAINPRIZE OFFSHORE LTD","250000","519622","United Kingdom","GBR"
"MNG Maritime Ltd","540000","497406","United Kingdom","GBR"
"MPI Offshore BV","1650000","238268","United Kingdom","GBR"
"Navalmar (UK) Ltd.","1500000","163530","United Kingdom","GBR"
"Navigator Gas LLC","700000","259284","United Kingdom","GBR"
"NL TRANS OIL LIMITED","900000","","United Kingdom","GBR"
"Ocean Horizon Shipping Limited","80000","637602","United Kingdom","GBR"
"PETROINEOS TRADING LIMITED","8000000","448364","United Kingdom","GBR"
"Prosafe Offshore Limited","1000000","154823","United Kingdom","GBR"
"Rowan Companies Plc","15000000","525341","United Kingdom","GBR"
"Sea Pioneer Limited","1300000","123291","United Kingdom","GBR"
"SHELL INTERNATIONAL","5000000","24558","United Kingdom","GBR"
"Shell International Trading and Shipping Company Ltd","35000000","","United Kingdom","GBR"
"SIEM CAR CARRIERS AS","1000000","303233","United Kingdom","GBR"
"SUBSEA 7 INTERNATIONAL","2000000","341263","United Kingdom","GBR"
"Subsea 7 International Contracting Limited","700000","341263","United Kingdom","GBR"
"Technip Uk Limited","2500000","24777","United Kingdom","GBR"
"The Ocean Technology Group Limited","220000","","United Kingdom","GBR"
"Trinity House Harwich Depot. The","100000","","United Kingdom","GBR"
"Tune Chemical Tankers (UK) Limited","800000","647337","United Kingdom","GBR"
"UNITED EXPORTS LTD","250000","207184","United Kingdom","GBR"
"Western Bridge (Shipping) Limited","350000","253242","United Kingdom","GBR"
"WL Shipping Ltd","200000","","United Kingdom","GBR"
"4refuel US. Llc","150000","","United States","USA"
"Conex Petroleum Services Inc","9000000","","United States","USA"
"Epic Companies LLC","800000","","United States","USA"
"Fuel Masters LLC","475000","","United States","USA"
"Indigo Energy Partners","200000","","United States","USA"
"Kolkhorst Petroleum Company","150000","","United States","USA"
"Lazer Energy Company","225000","","United States","USA"
"Leidos Holdings Inc","2400000","","United States","USA"
"MAG Lube LLC a/k/a Mag","100000","","United States","USA"
"Martin Energy Services","50000","","United States","USA"
"Meremar General Trading LLC","225000","","United States","USA"
"Midcon Gathering LLC","250000","","United States","USA"
"Navasota Oil Co Inc","150000","","United States","USA"
"Pasternak. Baum & Co.. Inc","500000","","United States","USA"
"Penfield Tankers (Panamax) LLC","4000000","","United States","USA"
"Ricochet Fuel Distributors","125000","","United States","USA"
"Sims Group Global Trade Corp","270000","","United States","USA"
"Sonoco Partners Marketing &","2000000","","United States","USA"
"Tehema Shipping Services Co LLC","500000","","United States","USA"
"Texas Fueling Services Inc","100000","","United States","USA"
"Tropic Oil Tropic Fleet Services","100000","","United States","USA"
"WESTWOOD SHIPPING LINES.","1750000","295147","United States","USA"
"Whitener Enterprises Inc","150000","","United States","USA"
"BOKE SERVICES MANAGEMENT.","300000","277942","United States of America","USA"
"Bunge Latin America LLC","1500000","273809","United States of America","USA"
"Bunge SA","20000000","640152","United States of America","USA"
"Carnival Corporation","15000000","2384","United States of America","USA"
"Chevron Corporation","20000000","634843","United States of America","USA"
"Chimbusco Americas Inc","2000000","236489","United States of America","USA"
"Colonial Oil Industries Inc","45000","60719","United States of America","USA"
"DOJI MARINE TRADING LLC","500000","479397","United States of America","USA"
"Evergreen Marine Corporation (Taiwan) Ltd","15000000","70739","United States of America","USA"
"ExxonMobil Sales & Supply. LLC","5000000","432486","United States of America","USA"
"Fairfield Industries Inc","1100000","26782","United States of America","USA"
"Foss Maritime Company","400000","5606","United States of America","USA"
"Fugro USA Marine Inc.","200000","599958","United States of America","USA"
"FUGRO USA MARINE. INC.","500000","599958","United States of America","USA"
"Genco Shipping & Trading Ltd.","2700000","258138","United States of America","USA"
"Gold Star Maritime Company","400000","641410","United States of America","USA"
"Guardian Navigation Worldwide Inc","3500000","302596","United States of America","USA"
"Holland America Line Inc.","2000000","6514","United States of America","USA"
"HSL Shipping & Logistics (NA) Inc","400000","268210","United States of America","USA"
"Hudson Shipping Lines Inc","2000000","320031","United States of America","USA"
"Industrial Maritime Carriers LLC","300000","117509","United States of America","USA"
"Institute for Shipboard Education","650000","464806","United States of America","USA"
"KEYSTONE SHIPPING CO.","750000","7991","United States of America","USA"
"KYMA SHIP MANAGEMENT INC","500000","117547","United States of America","USA"
"Liberty Maritime Corporation","2500000","25354","United States of America","USA"
"Magical Cruise Company. Limited","5000000","313263","United States of America","USA"
"New York State Marine Highway Transportation LLC","450000","231361","United States of America","USA"
"NORDEN SHIPPING","2500000","522050","United States of America","USA"
"OSG Ship Management. Inc.","500000","106985","United States of America","USA"
"Phillips 66","7000000","58219","United States of America","USA"
"Polar Tankers. Inc.","2500000","1028","United States of America","USA"
"Radcliff Economy Marine Services","50000","422544","United States of America","USA"
"RELIANCE BULK CARRIERS LLC","500000","302846","United States of America","USA"
"RESOLVE MARINE GROUP. INC.","550000","302895","United States of America","USA"
"Schuyler Line Navigation","3000000","500148","United States of America","USA"
"Seabourn Cruise Line Limited","2000000","100288","United States of America","USA"
"Seabulk Tankers. Inc","300000","638215","United States of America","USA"
"Seacor holdings Inc","5000000","546310","United States of America","USA"
"Seawolf Tankers Inc","4000000","287995","United States of America","USA"
"SHELL TRADING (US) COMPANY","2000000","268361","United States of America","USA"
"Sigma Tankers Inc.","1200000","262270","United States of America","USA"
"Sokana Shipping & Trading Ltd.","1000000","534941","United States of America","USA"
"SOL GROUP MARKETING","300000","437726","United States of America","USA"
"Sterling Ocean Chemical Tankers III LLC","500000","485752","United States of America","USA"
"T.T.S. (Shipping) Limited","45000","648619","United States of America","USA"
"Tote Services Inc","350000","474079","United States of America","USA"
"TRAILER BRIDGE. INC","500000","133520","United States of America","USA"
"TROPICAL SHIPPING &","600000","17245","United States of America","USA"
"Trustees of Columbia University in","550000","550148","United States of America","USA"
"World Fuel Services Inc","20000000","285643","United States of America","USA"
"Fgas Petrol JSC","1000000","303051","Vietnam","VNM"
"GEMADEPT CORPORATION","500000","652567","Vietnam","VNM"
"Gemadept Shipping Limited","500000","496913","Vietnam","VNM"
"Hao Hung Co. Ltd","750000","471106","Vietnam","VNM"
"Long Hung Trading and Service Co Ltd","800000","","Vietnam","VNM"
"MAERSK LINE","2000000","297385","Vietnam","VNM"
"Petrovietnam Transportation Corp","2900000","55549","Vietnam","VNM"
"PHUONG NAM INVESTMENT","100000","346444","Vietnam","VNM"
"SOUTHERN PETROLEUM","500000","255441","Vietnam","VNM"
"TAN BINH COMPANY LIMITED","1500000","207451","Vietnam","VNM"
"Viet Trust Shipping Corp","60000","253040","Vietnam","VNM"
"Vietnam National Shipping Lines","6000000","","Vietnam","VNM"
